Sexo,Edad,Rng_edad,EstadoCivil,Trabaja_estudia,NSE,TieneTV_Radio,TieneComputadora,TieneLaptop,TieneIPAD,TieneEquipoMusica,TieneTelfInteligente,TieneKindle,CompraComida,RopaSuper,RopaLocal,RopaTianguis,RopaCentroComerc,RopaBoutique,RopaExtranjero,RopaInternet,RopaUsada,RopaVendedorIndep,TiempLibreCasa,TiempLibreAmigos,TiempLibreRestaurante,TiempLibreCentroComercial,TiempoLibreCine,TiempoLibreExpoArte,TiempLibreConcierto,TiempLibreParque,TiempLibreMuseo,TiempLibreDiscoteca,TiempLibreClubSocial,TiempLibreDeportes,TiempLibreNaturaleza,CantidadLibros,Oficio,Idioma,GradoInstruccEncuest,P22_1,P22_2,SalidasFiestFamiliar,SalidaFiestAmigos,SalidaCarnavales,SalidaConciert_Teat,SalidaFiestaPatronal,SalidaAntros,SalidaRestaurante,SalidasConAmigos,RSArtagr_desag,RSArtEnt_abu,RSArtUtil_inut,RSArtEmoc_indf,RelacArtTV,RelacArtCine,RelacArtDiversio,RelacArtConoc,RelacArtbellez,RelacArtSenti,RelacArtCumb,RelacArtCultur,RelacArtPrivileg,RelacArtExtraord,GustoCiencia,MedDifCienciaTV,medDifCienciaRev,medDifCienciaPeriod,MedDifCienciaInternet,medDifCienciaFamilia,MedDifCienciaEscuel,DifusionCiencia,AsistencaiCiencia,AsistCienciaFamilia,AsistCienciaAmigos,AsistCienciaConocid,AsistCienciaSOLO,AsistCienciaNovio,GustoArtes,PrefArtesMus,PrefArtePint,PrefArteArtesa,PrefArteDanz,PrefArteTeat,PrefArteLiter,PrefArteCine,InfArteTv_radi,InfArteRevista,InfArtePeriod,InfoArtInternet,InfArteFam_Am,InfArtEscuela,PercepDifArte,AsistenciaArte,AsistArtFamilia,AsistArtAmigos,AsistArtConoci,AsitArtSolo,AsistArtNovio,CCGustoLeer,FrecLectura,PrefLectNove,PrefLectCuen,PrefLectComic,PrefLectPoesi,PrefLectNotInt,PrefLectNotper,PrefLectArtRev,PrefLectBlog,PrefLectRevis,PrefLectRedS,FuentLectComp,FuentLecPrest,FuentLecBiblio,FuentLecIntern,PrefMuseoArt,PrefMuseoHist,PrefMuseoCien,PrefMuseoNing,FrecAsistMuseo,AsistMuseoAmig,AsistMuseNov,AsisMuseEscue,AsisMuseFami,AsisMuseSolo,PrefMusRock,PrefMusMetal,PrefMusiPop,PrefMusiElectr,PrefMuscTradic,PrefMuscCumb,PrefMuscSalsa,PrefMuscRegu,PrefMuscTrova,PrefMuscCulta,PrefMuscRoman,GustoTV,PrefTVcaricat,PrefTVNoticias,PrefTVAnalPoli,PrefTVCultura,PrefTVSeries,PrefTVTelenov,PrefTVMusica,PrefTVDeporte,PrefTVReality,PrefTVConcur,P47_Otros,RSPolitImport,RSPolitAtracti,RSPolitUtil,RSPolitJusta,RelacPolitRobo,RelacPolitParticp,RelacPolitEnga,RelacPolitDemocr,RelacPolitCivis,RelacPolitParti,RelacPolitIgual,RelacPolitPueb,RelacPolitViole,RelacPolitGarant,RSEducEntret,RSEducUtil,RSEducPlacer,RSEducAnticua,RelacEduNeces,RelacEduDiner,RelacEduCult,RelacEduPosS,RelacEduValo,RelacEduLibe,RelacEduDerec,RelacEduPrivileg,RelacEduCertificados,RelacEduCompro,Ciudad
Hombre,20,18 a 20,Soltero,Trabajo,D+,Sí,Sí,No,No,Sí,Sí,No,Mercado o tianguis,No,No,Sí,Sí,No,No,No,No,No,Sí,Sí,No,No,Sí,No,No,No,No,Sí,No,Sí,No,1 a 10,Sí,No,Secundria Completa,Preparatoria Completa,Secundria Completa,Sí,Sí,Sí,No,No,Sí,No,Sí,Agradables,Entretenidas,Útiles,Emocionantes,Poco relacionado,Poco relacionado,Relacionado,Poco relacionado,Poco relacionado,Poco relacionado,Poco relacionado,Poco relacionado,Poco relacionado,Poco relacionado,No,No,No,No,No,No,No,NA,NA,No,No,No,No,No,Sí,Sí,No,No,No,No,No,Sí,No,No,No,Sí,No,No,Sí,Una o dos veces al mes,No,Sí,No,No,Sí,Sí,Por lo menos una vez al mes,Sí,Sí,No,No,No,No,No,No,No,No,Sí,No,Sí,Sí,Sí,No,No,No,Por lo menos 3-5 veces al año,Sí,Sí,Sí,No,No,Sí,No,Sí,Sí,No,No,No,No,No,No,Sí,Sí,No,No,No,No,Sí,No,Sí,Sí,Sí,No,No,Irrelevante (no importante),Repulsiva (Mala),Inútil,Injusta,Relacionado,Poco relacionado,Nada relacionado,Nada relacionado,Nada relacionado,Nada relacionado,Nada relacionado,Nada relacionado,Nada relacionado,Nada relacionado,Entretenida,Útil,Placer,Moderna,Nada relacionado,Nada relacionado,Nada relacionado,Nada relacionado,Relacionado,Relacionado,Relacionado,Nada relacionado,Relacionado,Nada relacionado,Mexico
Mujer,21,21 a 24,Soltero,Estudio,C+,Sí,Sí,Sí,Sí,Sí,Sí,No,Mercado o tianguis,No,No,Sí,Sí,No,No,No,No,No,Sí,Sí,No,No,Sí,No,No,No,No,Sí,No,No,No,1 a 10,Sí,Sí,Universidad Incompleta,Universidad Completa,Secundria Completa,Sí,Sí,Sí,No,No,Sí,No,No,Agradables,Entretenidas,Útiles,Emocionantes,Relacionado,Relacionado,Relacionado,Relacionado,Relacionado,Relacionado,Poco relacionado,Relacionado,Poco relacionado,Poco relacionado,No,No,No,No,No,No,No,NA,NA,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,NA,NA,No,No,No,No,No,Sí,Por lo menos una vez por semana,No,No,No,No,No,No,Sí,No,No,No,No,No,No,Sí,Sí,No,No,No,Por lo menos 3-5 veces al año,Sí,Sí,Sí,No,No,No,No,No,No,No,No,Sí,Sí,No,No,No,Sí,No,Sí,No,No,Sí,No,Sí,No,No,No,No,Irrelevante (no importante),Repulsiva (Mala),Inútil,Injusta,Nada relacionado,Nada relacionado,Nada relacionado,Nada relacionado,Nada relacionado,Nada relacionado,Nada relacionado,Nada relacionado,Nada relacionado,Nada relacionado,Entretenida,Útil,Placer,Moderna,Nada relacionado,Nada relacionado,Nada relacionado,Nada relacionado,Nada relacionado,Nada relacionado,Nada relacionado,Nada relacionado,Nada relacionado,Nada relacionado,Mexico
Mujer,15,15 a 17,Soltero,Estudio,C,Sí,No,No,Sí,Sí,Sí,No,Mercado o tianguis,Sí,No,Sí,No,No,No,No,No,No,Sí,Sí,No,No,Sí,No,No,Sí,No,No,No,No,No,11 a 30,No,No,Secundria Completa,Secundria Completa,Secundria Completa,Sí,Sí,No,No,No,No,No,Sí,Agradables,Entretenidas,Útiles,Emocionantes,Relacionado,Relacionado,Relacionado,Poco relacionado,Relacionado,Poco relacionado,Nada relacionado,Nada relacionado,Nada relacionado,Nada relacionado,Sí,Sí,No,Sí,Sí,No,No,NS/NR,1 o 2 veces al año,Sí,No,No,No,No,Sí,Sí,No,No,Sí,No,No,Sí,Sí,No,No,Sí,Sí,No,NS/NR,Una o dos veces al año,Sí,Sí,No,No,No,Sí,Por lo menos una vez al mes,No,Sí,No,No,Sí,No,Sí,No,No,No,Sí,No,No,Sí,No,Sí,No,No,Por lo menos 3-5 veces al año,No,No,Sí,Sí,No,Sí,No,Sí,No,No,No,No,No,No,No,Sí,Sí,Sí,No,No,No,Sí,Sí,No,No,Sí,No,No,Irrelevante (no importante),Repulsiva (Mala),Inútil,Injusta,Nada relacionado,Nada relacionado,Nada relacionado,Nada relacionado,Nada relacionado,Nada relacionado,Nada relacionado,Nada relacionado,Nada relacionado,Nada relacionado,Entretenida,Útil,Obligación,Moderna,Nada relacionado,Nada relacionado,Nada relacionado,Nada relacionado,Nada relacionado,Nada relacionado,Nada relacionado,Nada relacionado,Nada relacionado,Nada relacionado,Mexico
Mujer,22,21 a 24,Soltero,Trabajo y Estudio,C,Sí,No,Sí,Sí,No,No,Sí,Supermercado,Sí,No,No,Sí,No,No,No,No,No,Sí,Sí,No,No,Sí,No,Sí,No,No,No,No,No,No,31 a 100,Sí,No,Preparatoria Completa,Preparatoria Completa,Preparatoria Completa,Sí,Sí,No,Sí,No,No,No,No,Agradables,Entretenidas,Útiles,Emocionantes,Muy relacionado,Totalmente relacionado,Relacionado,Relacionado,Muy relacionado,Poco relacionado,Relacionado,Poco relacionado,Poco relacionado,Nada relacionado,Sí,No,No,Sí,Sí,Sí,No,Sí,1 o 2 veces al mes,Sí,No,Sí,No,Sí,Sí,Sí,Sí,No,No,No,No,Sí,No,No,Sí,Sí,No,Sí,Sí,Por lo menos 1 o 2 veces por semana,No,Sí,Sí,No,Sí,Sí,Diario,Sí,Sí,No,No,No,No,No,No,Sí,No,Sí,No,No,No,No,No,Sí,No,Por lo menos 1-2 veces al año,Sí,Sí,No,No,No,Sí,Sí,No,No,Sí,No,Sí,No,No,No,No,Sí,No,No,Sí,Sí,Sí,No,No,No,No,Sí,No,Relevante (importante),Repulsiva (Mala),Inútil,Injusta,Nada relacionado,Nada relacionado,Poco relacionado,Poco relacionado,Nada relacionado,Relacionado,Muy relacionado,Poco relacionado,Relacionado,Nada relacionado,Entretenida,Útil,Placer,Moderna,Muy relacionado,Totalmente relacionado,Totalmente relacionado,Relacionado,Relacionado,Muy relacionado,Poco relacionado,Poco relacionado,Relacionado,Relacionado,Mexico
Hombre,19,18 a 20,Soltero,Estudio,C+,Sí,Sí,Sí,Sí,Sí,Sí,No,Supermercado,Sí,Sí,No,No,No,No,No,No,No,Sí,No,No,No,Sí,No,No,No,Sí,No,No,No,No,11 a 30,No,Sí,Universidad Incompleta,Universidad Completa,Preparatoria Completa,No,Sí,No,No,No,Sí,No,No,Agradables,Entretenidas,Útiles,Emocionantes,Totalmente relacionado,Totalmente relacionado,Totalmente relacionado,Muy relacionado,Poco relacionado,Poco relacionado,Nada relacionado,Nada relacionado,Poco relacionado,Nada relacionado,No,No,No,No,No,No,No,NA,NA,No,No,No,No,No,Sí,Sí,No,No,No,No,No,Sí,No,No,No,No,Sí,Sí,Sí,Una o dos veces al año,No,Sí,No,No,No,No,NA,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,NA,No,No,No,No,No,No,Sí,Sí,Sí,No,No,No,No,No,No,No,Sí,Sí,No,No,No,No,No,No,No,No,No,No,Irrelevante (no importante),Repulsiva (Mala),Inútil,Injusta,Nada relacionado,Nada relacionado,Nada relacionado,Nada relacionado,Nada relacionado,Nada relacionado,Nada relacionado,Nada relacionado,Nada relacionado,Nada relacionado,Entretenida,Útil,Placer,Moderna,Totalmente relacionado,Relacionado,Poco relacionado,Relacionado,Relacionado,Poco relacionado,Nada relacionado,Nada relacionado,Nada relacionado,Relacionado,Mexico
Hombre,19,18 a 20,Soltero,Estudio,C+,Sí,Sí,Sí,No,No,Sí,No,Abarrotes/Bodega,No,Sí,Sí,Sí,No,No,No,No,No,Sí,No,No,Sí,Sí,No,No,No,No,Sí,No,No,No,31 a 100,No,No,Preparatoria Completa,Universidad Incompleta,Universidad Completa,Sí,Sí,No,Sí,No,No,No,No,Agradables,Entretenidas,Útiles,Emocionantes,Totalmente relacionado,Muy relacionado,Poco relacionado,Relacionado,Relacionado,Nada relacionado,Nada relacionado,Nada relacionado,Poco relacionado,Muy relacionado,Sí,No,No,No,Sí,No,Sí,Sí,1 o 2 veces al mes,Sí,Sí,No,No,No,Sí,Sí,No,Sí,No,Sí,No,No,No,No,No,Sí,Sí,No,Sí,Una o dos veces al mes,No,Sí,Sí,No,No,Sí,Por lo menos una vez por semana,Sí,Sí,No,No,No,No,No,Sí,Sí,No,Sí,No,Sí,No,Sí,No,No,No,Por lo menos 3-5 veces al año,Sí,Sí,Sí,No,No,Sí,No,No,No,No,Sí,Sí,No,Sí,No,No,Sí,Sí,No,No,Sí,Sí,No,Sí,Sí,No,No,No,Relevante (importante),Repulsiva (Mala),Útil,Injusta,Muy relacionado,Relacionado,Relacionado,Poco relacionado,Relacionado,Nada relacionado,Nada relacionado,Poco relacionado,Nada relacionado,Nada relacionado,Entretenida,Útil,Placer,Moderna,Totalmente relacionado,Muy relacionado,Muy relacionado,Totalmente relacionado,Relacionado,Muy relacionado,Nada relacionado,Nada relacionado,Poco relacionado,Muy relacionado,Mexico
Mujer,19,18 a 20,Soltero,Estudio,C+,Sí,Sí,Sí,Sí,Sí,No,No,Supermercado,Sí,No,No,No,No,No,No,No,No,Sí,No,No,No,Sí,No,No,No,Sí,No,No,No,No,11 a 30,No,Sí,Preparatoria Completa,Universidad Incompleta,Preparatoria Completa,No,Sí,No,Sí,No,No,No,No,Agradables,Entretenidas,Útiles,Emocionantes,Relacionado,Relacionado,Relacionado,Relacionado,Poco relacionado,Relacionado,Nada relacionado,Poco relacionado,Nada relacionado,Poco relacionado,Sí,No,Sí,No,Sí,No,No,Sí,1 o 2 veces al mes,No,Sí,No,No,No,Sí,Sí,No,No,No,No,No,No,No,No,No,Sí,Sí,No,No,Una o dos veces al año,No,Sí,No,No,No,Sí,Por lo menos una vez por semana,Sí,No,No,Sí,No,No,No,No,No,No,Sí,No,No,No,Sí,No,No,No,Por lo menos 1-2 veces al año,No,No,No,Sí,No,Sí,No,No,No,No,Sí,No,No,No,No,No,Sí,Sí,No,No,No,Sí,No,No,No,No,No,No,Relevante (importante),Atractiva (Buena),Útil,Injusta,Relacionado,Nada relacionado,Nada relacionado,Poco relacionado,Nada relacionado,Nada relacionado,Relacionado,Relacionado,Relacionado,Poco relacionado,Entretenida,Útil,Obligación,Moderna,Muy relacionado,Relacionado,Relacionado,Poco relacionado,Poco relacionado,Relacionado,Poco relacionado,Poco relacionado,Nada relacionado,Relacionado,Mexico
Hombre,15,15 a 17,Soltero,Trabajo y Estudio,AB,Sí,Sí,Sí,Sí,Sí,No,No,Supermercado,No,Sí,No,No,No,No,No,No,No,Sí,No,No,No,Sí,No,No,No,Sí,No,No,Sí,No,31 a 100,Sí,No,Secundaria Incompleta,Universidad Completa,Universidad Completa,Sí,Sí,No,No,No,No,No,No,Agradables,Entretenidas,Útiles,Emocionantes,Totalmente relacionado,Totalmente relacionado,Totalmente relacionado,Muy relacionado,Muy relacionado,Relacionado,Nada relacionado,Poco relacionado,Nada relacionado,Poco relacionado,Sí,No,No,No,No,No,Sí,Sí,1 o 2 veces al mes,Sí,Sí,No,No,No,Sí,Sí,No,No,Sí,No,No,Sí,No,Sí,No,No,Sí,No,Sí,Una o dos veces al mes,Sí,Sí,No,No,No,Sí,Por lo menos una vez por semana,No,Sí,No,Sí,No,No,No,No,Sí,No,Sí,Sí,No,No,Sí,No,No,No,Por lo menos 3-5 veces al año,Sí,No,No,Sí,No,Sí,No,No,Sí,No,No,No,No,Sí,No,Sí,Sí,No,Sí,No,No,Sí,No,No,No,No,No,No,Irrelevante (no importante),Repulsiva (Mala),Útil,Injusta,Muy relacionado,Relacionado,Relacionado,Relacionado,Muy relacionado,Poco relacionado,Poco relacionado,Relacionado,Relacionado,Relacionado,Entretenida,Útil,Obligación,Moderna,Muy relacionado,Relacionado,Relacionado,Relacionado,Nada relacionado,Nada relacionado,Poco relacionado,Relacionado,Relacionado,Relacionado,Mexico
Mujer,19,18 a 20,Soltero,Estudio,C+,Sí,Sí,Sí,No,No,Sí,No,Supermercado,No,Sí,No,Sí,No,No,No,No,No,Sí,No,No,No,Sí,No,No,No,No,No,No,Sí,No,11 a 30,Sí,Sí,Preparatoria Completa,Universidad Incompleta,Universidad Incompleta,No,Sí,No,No,No,No,No,No,Agradables,Entretenidas,Útiles,Emocionantes,Totalmente relacionado,Totalmente relacionado,Muy relacionado,Totalmente relacionado,Relacionado,Relacionado,Muy relacionado,Poco relacionado,Poco relacionado,Totalmente relacionado,Sí,Sí,No,No,Sí,No,Sí,No,1 o 2 veces al mes,No,Sí,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,NA,NA,No,No,No,No,No,Sí,Por lo menos una vez por semana,Sí,Sí,No,No,No,No,No,No,No,No,Sí,No,Sí,No,No,Sí,No,No,Por lo menos 3-5 veces al año,No,No,Sí,No,No,Sí,No,Sí,No,Sí,No,No,No,Sí,No,No,Sí,No,No,No,No,Sí,No,No,No,No,Sí,No,Irrelevante (no importante),Repulsiva (Mala),Inútil,Injusta,Relacionado,Poco relacionado,Poco relacionado,Poco relacionado,Relacionado,Nada relacionado,Nada relacionado,Nada relacionado,Nada relacionado,Nada relacionado,Entretenida,Útil,Placer,Obsoleta,Totalmente relacionado,Totalmente relacionado,Totalmente relacionado,Muy relacionado,Totalmente relacionado,Muy relacionado,Relacionado,Relacionado,Muy relacionado,Totalmente relacionado,Mexico
Mujer,24,21 a 24,Soltero,Trabajo,C+,Sí,Sí,Sí,Sí,No,No,No,Supermercado,No,Sí,No,Sí,Sí,No,No,No,No,Sí,Sí,No,No,Sí,Sí,No,No,Sí,No,No,No,No,31 a 100,Sí,Sí,Universidad Incompleta,Universidad Incompleta,Preparatoria Completa,Sí,No,No,Sí,No,No,No,No,Agradables,Entretenidas,Útiles,Emocionantes,Totalmente relacionado,Totalmente relacionado,Muy relacionado,Muy relacionado,Nada relacionado,Poco relacionado,Nada relacionado,Muy relacionado,Relacionado,Relacionado,Sí,Sí,No,No,Sí,No,No,NS/NR,1 o 2 veces al mes,Sí,Sí,No,No,No,Sí,Sí,No,No,Sí,No,No,Sí,No,No,No,Sí,Sí,No,Sí,Por lo menos 1 o 2 veces por semana,No,No,No,No,Sí,Sí,Diario,No,No,No,No,No,No,Sí,Sí,No,Sí,Sí,No,Sí,No,Sí,No,Sí,No,Más de 5 veces,No,Sí,No,Sí,No,No,No,No,No,No,No,No,No,Sí,No,Sí,Sí,No,No,Sí,Sí,Sí,No,Sí,Sí,No,No,No,Relevante (importante),Repulsiva (Mala),Útil,Injusta,Totalmente relacionado,Relacionado,Relacionado,Muy relacionado,Relacionado,Totalmente relacionado,Totalmente relacionado,Totalmente relacionado,Totalmente relacionado,Totalmente relacionado,Entretenida,Útil,Obligación,Moderna,Totalmente relacionado,Muy relacionado,Totalmente relacionado,Totalmente relacionado,Relacionado,Totalmente relacionado,Totalmente relacionado,Totalmente relacionado,Relacionado,Relacionado,Mexico
